gauge_id,gauge_elev_metadata
DED10000,436.104
DED10020,125.045
DED10050,315.592
DED10060,527.367
DED10070,560.914
DED10090,349.146
DED10100,342.12
DED10110,81.417
DED10130,481.219
DED10150,185.978
DED10170,376.611
DED10180,266.863
DED10200,538.037
DED10220,278.752
DED10230,355.512
DED10240,118.94
DED10260,403.423
DED10270,201.37
DED10290,560.644
DED10300,120.924
DED10320,219.68
DED10340,287.208
DED10350,139.172
DED10380,237.437
DED10400,340.31
DED10430,136.195
DED10480,197.579
DED10490,271.225
DED10500,266.429
DED10510,342.703
DED10520,109.946
DED10530,140.96
DED10540,566.896
DED10560,182.32
DED10570,117.666
DED10600,150.638
DED10610,150.84
DED10620,148.02
DED10640,263.61
DED10650,301.14
DED10690,160.36
DED10700,170.678
DED10710,175.63
DED10720,191.693
DED10760,184.007
DED10770,176.27
DED10780,190.038
DED10790,352.956
DED10800,135.667
DED10810,236.541
DED10830,315.063
DED10860,261.93
DED10880,294.033
DED10890,203.6
DED10900,356.873
DED10920,342.683
DED10940,688.785
DED10950,671.761
DED10970,160.916
DED11000,664.85
DED11010,158.203
DED11030,130.013
DED11040,119.554
DED11050,110.9
DED11070,241.565
DED11080,115.45
DED11090,96.905
DED11100,540.097
DED11120,165.299
DED11150,199.814
DED11160,182.84
DED11190,283.312
DED11250,128.472
DED11270,461.966
DED11280,109.91
DED11290,143.656
DED11300,251.91
DED11330,318.768
DED11350,129.51
DED11370,140.886
DED11390,174.326
DED11400,377.19
DED11410,83.883
DED11420,96.544
DED11440,446.78
DED11450,175.993
DED11460,306.692
DED11480,148.74
DED11490,120.97
DED11510,117.15
DED11530,379.472
DED11540,246.033
DED11560,153.188
DED11570,305.494
DED11590,322.117
DED11610,109.72
DED11620,124.185
DED11640,260.91
DED11660,291.219
DED11670,314.286
DED11690,486.253
DED11700,203.759
DED11710,477.7
DED11720,352.104
DED11750,392.062
DED11780,442.005
DED11790,138.569
DED11810,135.8
DED11820,170.951
DED11840,106.312
DED11910,120.826
DED11930,126.956
DED11960,168.058
DED11980,226.448
DED11990,141.464
DED12000,613.554
DED12020,685.45
DED12030,183.004
DED12060,131.563
DED12100,247.76
DED12110,263.474
DED12160,558.0
DED12180,414.928
DED12210,213.074
DED12230,538.217
DED12240,320.425
DED12250,746.586
DED12260,260.332
DED12270,552.4
DED12280,337.559
DED12290,600.478
DED12300,429.62
DED12310,406.36
DED12320,132.23
DED12340,195.92
DED12360,290.033
DED12370,107.95
DED12390,107.758
DED12400,339.348
DED12410,99.03
DED12420,114.107
DED12430,258.643
DED12440,351.453
DED12450,338.418
DED12460,409.82
DED12470,162.38
DED12490,105.523
DED12500,169.37
DED12510,485.593
DED12520,197.18
DED12560,132.072
DED12570,132.586
DED12580,230.848
DED12590,159.722
DED12610,268.08
DED12620,423.868
DED12630,415.773
DED12650,280.85
DED12660,256.689
DED12680,468.632
DED12690,207.777
DED12710,140.62
DED12720,168.375
DED12730,225.15
DED12770,232.361
DED12780,118.654
DED12790,255.208
DED12810,440.745
DED12820,366.31
DED12830,113.209
DED12840,150.17
DED12850,191.18
DED12860,139.177
DED12870,383.067
DED12880,168.15
DED12890,154.24
DED12900,510.029
DED12910,
DED12920,484.38
DED12930,143.35
DED12940,564.424
DED12950,557.08
DED12960,201.985
